Date,Site ID,Error,Combined_DateTime,3055-1,3055-10,3055-11,3055-12,3055-13,3055-14,3055-15,3055-16,3055-17,3055-18,3055-19,3055-2,3055-20,3055-3,3055-4,3055-5,3055-6,3055-7,3055-8,3055-9
8/03/2023,3055,False,2023-08-03 15:15:00,28,5,4,4,0,0,0,0,0,0,1,40,2,4,4,4,9,54,1,4
8/03/2023,3055,False,2023-08-03 15:20:00,17,2,1,1,0,0,0,0,2,0,1,58,4,4,5,5,10,55,3,1
8/03/2023,3055,False,2023-08-03 15:25:00,10,1,1,1,0,0,0,0,2,2,0,47,1,4,4,2,14,48,1,1
8/03/2023,3055,False,2023-08-03 15:30:00,9,4,2,5,0,0,0,0,1,0,1,63,4,3,4,6,16,40,1,2
8/03/2023,3055,False,2023-08-03 15:35:00,6,11,4,11,0,0,0,0,0,2,1,38,2,2,4,6,8,47,0,3
8/03/2023,3055,False,2023-08-03 15:40:00,15,3,1,3,0,0,0,0,0,0,1,49,0,5,2,2,12,37,1,1
8/03/2023,3055,False,2023-08-03 15:45:00,11,9,3,7,0,0,0,0,0,0,2,39,1,5,1,3,9,39,0,3
8/03/2023,3055,False,2023-08-03 15:50:00,11,2,3,2,0,0,0,0,0,1,0,42,1,3,2,3,9,34,1,2
8/03/2023,3055,False,2023-08-03 15:55:00,13,5,0,6,0,0,0,0,0,0,0,36,1,5,2,3,8,35,1,0
8/03/2023,3055,False,2023-08-03 16:00:00,14,6,2,5,0,0,0,0,2,1,2,42,1,3,1,5,17,53,1,2
8/03/2023,3055,False,2023-08-03 16:05:00,13,8,3,6,0,0,0,0,0,3,2,31,1,3,6,6,11,55,1,3
8/03/2023,3055,False,2023-08-03 16:10:00,9,6,4,7,0,0,0,0,1,1,1,52,1,3,1,4,7,52,1,4
8/03/2023,3055,False,2023-08-03 16:15:00,16,6,1,7,0,0,0,0,3,0,0,29,1,8,4,2,9,35,0,1
8/03/2023,3055,False,2023-08-03 16:20:00,11,4,3,8,0,0,0,0,2,0,0,45,3,9,3,3,9,51,2,2
8/03/2023,3055,False,2023-08-03 16:25:00,18,6,1,5,0,0,0,0,0,1,0,52,4,6,8,6,8,42,0,2
8/03/2023,3055,False,2023-08-03 16:30:00,15,13,2,14,0,0,0,0,0,0,0,47,2,5,5,4,13,46,1,3
8/03/2023,3055,False,2023-08-03 16:35:00,9,6,4,9,0,0,0,0,5,1,0,33,3,7,2,6,13,42,1,3
8/03/2023,3055,False,2023-08-03 16:40:00,10,8,2,9,0,0,0,0,2,2,0,42,0,2,3,1,9,32,0,2
8/03/2023,3055,False,2023-08-03 16:45:00,8,6,1,7,0,0,0,0,1,0,0,41,2,5,6,2,7,46,0,1
8/03/2023,3055,False,2023-08-03 16:50:00,7,3,1,3,0,0,0,0,0,1,0,34,2,5,4,4,9,41,3,2
8/03/2023,3055,False,2023-08-03 16:55:00,9,8,3,8,0,0,0,0,0,0,1,50,5,4,1,7,11,40,0,2
8/03/2023,3055,False,2023-08-03 17:00:00,14,3,2,2,0,0,0,0,3,1,0,40,1,6,5,5,10,38,0,1
8/03/2023,3055,False,2023-08-03 17:05:00,11,5,4,5,0,0,0,0,1,1,1,48,1,5,5,6,14,55,1,5
