Date,Site_ID,Error,Combined_DateTime,2368-1,2368-10,2368-11,2368-12,2368-13,2368-14,2368-15,2368-16,2368-17,2368-18,2368-19,2368-2,2368-20,2368-21,2368-22,2368-23,2368-24,2368-3,2368-4,2368-5,2368-6,2368-7,2368-8,2368-9
8/03/2023,2368,False,2023-08-03 07:15:00,34,6,23,49,0,8,2,13,15,17,2,26,0,0,3,1,0,54,67,0,33,52,46,26
8/03/2023,2368,False,2023-08-03 07:20:00,64,10,36,44,5,2,7,8,10,6,1,50,0,0,1,0,0,49,61,0,25,30,39,25
8/03/2023,2368,False,2023-08-03 07:25:00,50,8,24,41,3,5,11,13,14,10,1,39,0,0,4,1,1,41,43,0,32,38,43,29
8/03/2023,2368,False,2023-08-03 07:30:00,53,1,25,34,7,6,4,12,12,0,3,48,2,0,2,1,1,44,49,0,36,30,39,15
8/03/2023,2368,False,2023-08-03 07:35:00,37,10,26,41,3,8,7,14,17,1,0,28,0,0,3,2,1,45,46,0,22,40,41,30
8/03/2023,2368,False,2023-08-03 07:40:00,46,7,28,54,6,10,11,12,13,11,1,42,0,0,4,1,0,60,63,0,30,24,22,15
8/03/2023,2368,False,2023-08-03 07:45:00,13,6,20,39,8,6,6,10,9,5,0,47,3,0,12,0,2,42,49,0,17,33,41,32
8/03/2023,2368,False,2023-08-03 07:50:00,42,10,31,31,2,7,9,26,20,5,0,35,0,0,12,0,2,48,58,0,11,24,25,18
8/03/2023,2368,False,2023-08-03 07:55:00,55,8,26,39,8,5,4,14,8,4,0,28,1,0,1,0,7,60,59,0,15,23,26,30
8/03/2023,2368,False,2023-08-03 08:00:00,17,6,18,26,6,12,10,8,8,1,1,33,0,0,4,1,0,53,51,0,17,34,36,40
8/03/2023,2368,False,2023-08-03 08:05:00,10,8,28,26,6,23,10,10,9,0,2,41,0,0,23,1,0,63,80,0,22,31,25,30
8/03/2023,2368,False,2023-08-03 08:10:00,23,7,22,25,2,11,16,21,21,0,1,25,0,0,2,5,0,55,57,0,14,22,21,23
8/03/2023,2368,False,2023-08-03 08:15:00,51,10,32,34,9,22,12,11,12,4,1,32,0,0,5,1,0,63,68,0,21,13,19,15
8/03/2023,2368,False,2023-08-03 08:20:00,40,5,32,25,6,35,18,29,21,0,0,33,1,0,6,3,0,42,42,0,18,33,48,26
8/03/2023,2368,False,2023-08-03 08:25:00,74,8,36,58,6,20,9,15,10,16,1,26,0,0,9,1,3,66,70,0,18,24,28,28
8/03/2023,2368,False,2023-08-03 08:30:00,35,6,23,37,5,2,19,25,22,9,2,27,0,0,2,3,1,50,50,0,19,22,23,25
8/03/2023,2368,False,2023-08-03 08:35:00,25,14,27,36,7,9,19,23,14,3,1,23,0,0,1,1,0,46,46,0,15,34,33,34
8/03/2023,2368,False,2023-08-03 08:40:00,41,14,30,47,7,4,9,11,14,3,3,23,0,0,6,1,1,49,45,0,16,33,30,23
